YEAR,SERIALNO,PUMA,ADJHSG,ADJINC,CONP,ELEP,FS,GASP,MHP,MRGI,MRGP,MRGT,MRGX,RNTP,SMP,VACS,VALP,YBL,FES,FINCP,GRNTP,GRPIP,HHL,HHT,HINCP,LNGI,MV,OCPIP,SMOCP,TAXP,WORKSTAT
2012,1129,812,1000000,1010207,NULL,80,2,80,NULL,1,420,1,1,NULL,NULL,NULL,13900,8,1,35200,NULL,NULL,2,1,35200,1,1,20,586,16,1
2012,3237,812,1000000,1010207,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,NULL,NULL
2012,7620,812,1000000,1010207,NULL,80,2,160,NULL,1,5100,1,1,NULL,NULL,NULL,1000000,8,2,50000,NULL,NULL,1,1,50000,1,4,101,5394,68,3
2012,8836,812,1000000,1010207,NULL,120,2,30,NULL,NULL,NULL,NULL,NULL,600,NULL,NULL,NULL,3,NULL,NULL,758,55,1,4,16500,1,1,NULL,NULL,NULL,NULL
2012,10265,812,1000000,1010207,NULL,40,2,3,NULL,NULL,NULL,NULL,NULL,1400,NULL,NULL,NULL,1,NULL,NULL,1440,17,1,5,104400,1,1,NULL,NULL,NULL,NULL
2012,11515,812,1000000,1010207,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,NULL,NULL
2012,14951,812,1000000,1010207,NULL,40,2,50,NULL,NULL,NULL,NULL,NULL,1200,NULL,NULL,NULL,7,1,41240,1340,39,1,1,41240,1,1,NULL,NULL,NULL,1
2012,27389,812,1000000,1010207,NULL,50,2,2,NULL,2,2100,1,1,NULL,NULL,NULL,420000,1,7,85000,NULL,NULL,1,3,85000,1,2,32,2263,30,13
2012,30567,812,1000000,1010207,NULL,150,2,50,NULL,1,2400,1,1,NULL,NULL,NULL,480000,6,2,98000,NULL,NULL,1,1,98000,1,4,34,2800,52,3
2012,34292,812,1000000,1010207,NULL,60,2,1,NULL,NULL,NULL,NULL,NULL,1800,NULL,NULL,NULL,7,NULL,NULL,1862,21,1,5,104000,1,1,NULL,NULL,NULL,NULL
