GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME/,POP100,HU100,POP100.2000,HU100.2000,P001001,P001001.2000
8031000102,140,8,31,19740,216,,,1.02,3109,1609,3414,1555,3109,3414
8031000202,140,8,31,19740,216,,,2.02,3916,1600,4485,1596,3916,4485
8031000301,140,8,31,19740,216,,,3.01,5003,2713,5477,2469,5003,5477
8031000401,140,8,31,19740,216,,,4.01,3209,1457,3740,1428,3209,3740
8031000501,140,8,31,19740,216,,,5.01,1814,976,1943,980,1814,1943
8031000600,140,8,31,19740,216,,,6,2552,1358,3330,1129,2552,3330
8031000701,140,8,31,19740,216,,,7.01,4166,1905,4413,1724,4166,4413
8031000905,140,8,31,19740,216,,,9.05,3631,1225,4387,1221,3631,4387
8031001000,140,8,31,19740,216,,,10,3941,1245,3980,1243,3941,3980
8031001101,140,8,31,19740,216,,,11.01,2601,996,3330,982,2601,3330
8031001301,140,8,31,19740,216,,,13.01,4972,1620,4879,1616,4972,4879
8031001401,140,8,31,19740,216,,,14.01,5750,2117,5708,2091,5750,5708
8031001402,140,8,31,19740,216,,,14.02,4070,1423,4053,1402,4070,4053
8031001701,140,8,31,19740,216,,,17.01,4350,3618,2225,1850,4350,2225
8031001702,140,8,31,19740,216,,,17.02,3648,3257,2005,1883,3648,2005
8031001902,140,8,31,19740,216,,,19.02,705,69,589,65,705,589
8031002000,140,8,31,19740,216,,,20,1577,1345,619,446,1577,619
8031002100,140,8,31,19740,216,,,21,4879,2697,5810,2556,4879,5810
8031002300,140,8,31,19740,216,,,23,4831,2150,5462,2084,4831,5462
8031002403,140,8,31,19740,216,,,24.03,3338,2099,3650,1746,3338,3650
8031002601,140,8,31,19740,216,,,26.01,3087,2409,2472,1610,3087,2472
8031002602,140,8,31,19740,216,,,26.02,2736,1804,1599,989,2736,1599
8031002701,140,8,31,19740,216,,,27.01,4600,3823,4693,3607,4600,4693
8031002801,140,8,31,19740,216,,,28.01,2583,1721,2748,1774,2583,2748
8031002802,140,8,31,19740,216,,,28.02,4213,2951,4540,2874,4213,4540
8031002803,140,8,31,19740,216,,,28.03,4158,3293,4172,3244,4158,4172
8031002901,140,8,31,19740,216,,,29.01,2602,1557,2650,1569,2602,2650
8031003001,140,8,31,19740,216,,,30.01,5393,2840,5310,2798,5393,5310
8031003003,140,8,31,19740,216,,,30.03,3138,1228,3181,1372,3138,3181
8031003004,140,8,31,19740,216,,,30.04,6237,2741,5515,2787,6237,5515
8031003102,140,8,31,19740,216,,,31.02,3389,2009,2690,1777,3389,2690
8031003201,140,8,31,19740,216,,,32.01,4970,3706,5240,3759,4970,5240
8031003202,140,8,31,19740,216,,,32.02,3001,2128,3044,2143,3001,3044
8031003203,140,8,31,19740,216,,,32.03,3001,1364,2971,1374,3001,2971
8031003300,140,8,31,19740,216,,,33,3099,1515,2785,1324,3099,2785
8031003401,140,8,31,19740,216,,,34.01,2420,1439,2368,1432,2420,2368
8031003402,140,8,31,19740,216,,,34.02,4485,2080,4282,2090,4485,4282
8031003601,140,8,31,19740,216,,,36.01,4651,1789,5662,1714,4651,5662
8031003701,140,8,31,19740,216,,,37.01,2907,1851,2123,1253,2907,2123
8031003703,140,8,31,19740,216,,,37.03,2779,1798,3055,1784,2779,3055
8031003800,140,8,31,19740,216,,,38,5589,4163,5028,3460,5589,5028
8031003901,140,8,31,19740,216,,,39.01,4172,2444,3675,1923,4172,3675
8031003902,140,8,31,19740,216,,,39.02,3892,1862,3486,1863,3892,3486
8031004005,140,8,31,19740,216,,,40.05,3002,1866,2730,1613,3002,2730
8031004006,140,8,31,19740,216,,,40.06,4489,2159,4140,2077,4489,4140
8031004101,140,8,31,19740,216,,,41.01,3648,1508,3289,1238,3648,3289
8031004106,140,8,31,19740,216,,,41.06,10138,2565,1871,1,10138,1871
8031004107,140,8,31,19740,216,,,41.07,3810,1773,703,1,3810,703
8031004201,140,8,31,19740,216,,,42.01,4481,1996,4574,1961,4481,4574
8031004202,140,8,31,19740,216,,,42.02,4109,1639,3967,1782,4109,3967
8031004301,140,8,31,19740,216,,,43.01,4469,3049,4985,3093,4469,4985
8031004302,140,8,31,19740,216,,,43.02,2467,1261,2489,1276,2467,2489
8031004303,140,8,31,19740,216,,,43.03,4067,1651,3906,1644,4067,3906
8031004304,140,8,31,19740,216,,,43.04,5456,2871,5373,2865,5456,5373
8031004306,140,8,31,19740,216,,,43.06,4807,2245,4800,2203,4807,4800
8031004404,140,8,31,19740,216,,,44.04,5978,2606,5083,2285,5978,5083
8031004405,140,8,31,19740,216,,,44.05,7316,3738,2025,993,7316,2025
8031004503,140,8,31,19740,216,,,45.03,3974,1278,3799,1180,3974,3799
8031004504,140,8,31,19740,216,,,45.04,3705,1115,3542,1030,3705,3542
8031004505,140,8,31,19740,216,,,45.05,4357,1264,4273,1181,4357,4273
8031004601,140,8,31,19740,216,,,46.01,5415,1896,5294,1894,5415,5294
8031004602,140,8,31,19740,216,,,46.02,7037,2302,6938,2292,7037,6938
8031004603,140,8,31,19740,216,,,46.03,5327,1985,5330,1982,5327,5330
8031004700,140,8,31,19740,216,,,47,6198,2254,5891,2260,6198,5891
8031006701,140,8,31,19740,216,,,67.01,2018,1818,1178,864,2018,1178
8031005001,140,8,31,19740,216,,,50.01,2586,1099,2588,1035,2586,2588
8031005102,140,8,31,19740,216,,,51.02,3368,1593,3498,1608,3368,3498
8031005104,140,8,31,19740,216,,,51.04,3111,1682,3180,1682,3111,3180
8031005200,140,8,31,19740,216,,,52,3052,1399,3202,1375,3052,3202
8031005300,140,8,31,19740,216,,,53,1206,633,1353,639,1206,1353
8031005502,140,8,31,19740,216,,,55.02,1856,605,1953,606,1856,1953
8031005503,140,8,31,19740,216,,,55.03,4644,1819,4858,1818,4644,4858
8031006804,140,8,31,19740,216,,,68.04,2184,1375,1766,1086,2184,1766
8031006809,140,8,31,19740,216,,,68.09,6979,3763,6628,3485,6979,6628
8031006810,140,8,31,19740,216,,,68.1,5207,2649,5184,2641,5207,5184
8031006811,140,8,31,19740,216,,,68.11,5865,3373,6351,3436,5865,6351
8031006812,140,8,31,19740,216,,,68.12,3108,1832,3184,1853,3108,3184
8031006813,140,8,31,19740,216,,,68.13,3871,2517,3606,2438,3871,3606
8031006814,140,8,31,19740,216,,,68.14,4703,2195,5607,2601,4703,5607
8031006901,140,8,31,19740,216,,,69.01,5808,2978,5815,2935,5808,5815
8031007006,140,8,31,19740,216,,,70.06,4464,2591,3393,2148,4464,3393
8031007013,140,8,31,19740,216,,,70.13,3096,1874,3341,2005,3096,3341
8031007088,140,8,31,19740,216,,,70.88,4168,2585,4629,3115,4168,4629
8031007089,140,8,31,19740,216,,,70.89,4725,3786,4012,3108,4725,4012
8031008304,140,8,31,19740,216,,,83.04,3637,914,3470,915,3637,3470
8031008305,140,8,31,19740,216,,,83.05,3963,983,3982,979,3963,3982
8031008306,140,8,31,19740,216,,,83.06,5451,1812,5762,1798,5451,5762
8031008312,140,8,31,19740,216,,,83.12,6825,2105,6063,1904,6825,6063
8031008386,140,8,31,19740,216,,,83.86,4511,1146,3720,1101,4511,3720
8031008387,140,8,31,19740,216,,,83.87,5961,1556,4916,1496,5961,4916
8031008389,140,8,31,19740,216,,,83.89,7516,2287,2270,837,7516,2270
8031008390,140,8,31,19740,216,,,83.9,7703,2614,2327,2142,7703,2327
8031008391,140,8,31,19740,216,,,83.91,7020,2317,2120,848,7020,2120
8031011902,140,8,31,19740,216,,,119.02,6695,2886,5434,2506,6695,5434
8031011903,140,8,31,19740,216,,,119.03,2194,933,2194,938,2194,2194
8031012001,140,8,31,19740,216,,,120.01,2032,1035,1958,927,2032,1958
8031015300,140,8,31,19740,216,,,153,3832,2550,7850,4820,3832,7850
8031015500,140,8,31,19740,216,,,155,3313,1917,4033,2003,3313,4033
8031015600,140,8,31,19740,216,,,156,6498,2241,6390,2139,6498,6390
8031015700,140,8,31,19740,216,,,157,5535,2184,4950,2078,5535,4950
8031980000,140,8,31,19740,216,,,9800,1165,547,4,3,1165,4
8031980100,140,8,31,19740,216,,,9801,0,0,0,0,0,0
