NAME,POP100,HU100,POP100.2000,HU100.2000
1.02,3109,1609,3414,1555
2.02,3916,1600,4485,1596
3.01,5003,2713,5477,2469
4.01,3209,1457,3740,1428
5.01,1814,976,1943,980
6,2552,1358,3330,1129
7.01,4166,1905,4413,1724
9.05,3631,1225,4387,1221
10,3941,1245,3980,1243
11.01,2601,996,3330,982
13.01,4972,1620,4879,1616
14.01,5750,2117,5708,2091
14.02,4070,1423,4053,1402
17.01,4350,3618,2225,1850
17.02,3648,3257,2005,1883
19.02,705,69,589,65
20,1577,1345,619,446
21,4879,2697,5810,2556
23,4831,2150,5462,2084
24.03,3338,2099,3650,1746
26.01,3087,2409,2472,1610
26.02,2736,1804,1599,989
27.01,4600,3823,4693,3607
28.01,2583,1721,2748,1774
28.02,4213,2951,4540,2874
28.03,4158,3293,4172,3244
29.01,2602,1557,2650,1569
30.01,5393,2840,5310,2798
30.03,3138,1228,3181,1372
30.04,6237,2741,5515,2787
31.02,3389,2009,2690,1777
32.01,4970,3706,5240,3759
32.02,3001,2128,3044,2143
32.03,3001,1364,2971,1374
33,3099,1515,2785,1324
34.01,2420,1439,2368,1432
34.02,4485,2080,4282,2090
36.01,4651,1789,5662,1714
37.01,2907,1851,2123,1253
37.03,2779,1798,3055,1784
38,5589,4163,5028,3460
39.01,4172,2444,3675,1923
39.02,3892,1862,3486,1863
40.05,3002,1866,2730,1613
40.06,4489,2159,4140,2077
41.01,3648,1508,3289,1238
41.06,10138,2565,1871,1
41.07,3810,1773,703,1
42.01,4481,1996,4574,1961
42.02,4109,1639,3967,1782
43.01,4469,3049,4985,3093
43.02,2467,1261,2489,1276
43.03,4067,1651,3906,1644
43.04,5456,2871,5373,2865
43.06,4807,2245,4800,2203
44.04,5978,2606,5083,2285
44.05,7316,3738,2025,993
45.03,3974,1278,3799,1180
45.04,3705,1115,3542,1030
45.05,4357,1264,4273,1181
46.01,5415,1896,5294,1894
46.02,7037,2302,6938,2292
46.03,5327,1985,5330,1982
47,6198,2254,5891,2260
67.01,2018,1818,1178,864
50.01,2586,1099,2588,1035
51.02,3368,1593,3498,1608
51.04,3111,1682,3180,1682
52,3052,1399,3202,1375
53,1206,633,1353,639
55.02,1856,605,1953,606
55.03,4644,1819,4858,1818
68.04,2184,1375,1766,1086
68.09,6979,3763,6628,3485
68.1,5207,2649,5184,2641
68.11,5865,3373,6351,3436
68.12,3108,1832,3184,1853
68.13,3871,2517,3606,2438
68.14,4703,2195,5607,2601
69.01,5808,2978,5815,2935
70.06,4464,2591,3393,2148
70.13,3096,1874,3341,2005
70.88,4168,2585,4629,3115
70.89,4725,3786,4012,3108
83.04,3637,914,3470,915
83.05,3963,983,3982,979
83.06,5451,1812,5762,1798
83.12,6825,2105,6063,1904
83.86,4511,1146,3720,1101
83.87,5961,1556,4916,1496
83.89,7516,2287,2270,837
83.9,7703,2614,2327,2142
83.91,7020,2317,2120,848
119.02,6695,2886,5434,2506
119.03,2194,933,2194,938
120.01,2032,1035,1958,927
153,3832,2550,7850,4820
155,3313,1917,4033,2003
156,6498,2241,6390,2139
157,5535,2184,4950,2078
9800,1165,547,4,3
9801,0,0,0,0
2.01,3874,1497,4374,1531
3.02,4036,2133,3660,1824
3.03,4504,2379,4871,2296
4.02,5314,3024,7012,2642
5.02,5424,2778,6138,2793
7.02,5574,2144,6412,2051
8,1448,474,1496,479
9.02,5376,1811,5558,1817
9.03,6111,1915,6060,1869
9.04,5127,1841,5610,1782
11.02,3115,1659,3341,1148
13.02,3926,1340,3785,1328
14.03,2218,1289,2081,905
15,3687,1157,3454,955
16,7685,4171,3483,1057
18,3209,1851,3532,1844
19.01,2910,1052,2432,996
24.02,1687,877,1642,769
27.02,5323,4117,5100,3900
27.03,4785,3817,5194,3793
29.02,3791,2034,3669,1981
30.02,2553,1380,2689,1339
31.01,1455,812,1596,793
35,6401,1844,6708,1814
36.02,4337,1620,5172,1573
36.03,3106,1506,3375,1484
37.02,4357,2895,4484,2884
40.02,3133,1387,3044,1401
40.03,4121,2011,4201,2007
40.04,1808,868,1703,865
41.02,4173,1504,4535,1476
41.03,5093,2173,5283,2175
41.04,4289,1865,4774,1863
44.03,4213,2012,5053,1960
45.06,3450,1060,3383,991
48.01,2858,1071,2874,1073
50.02,6612,3505,6898,3637
70.37,3763,1886,3931,1621
83.88,6962,2682,2103,982
120.1,4995,2516,4958,2616
120.14,6137,2946,9173,3615
154,3934,1686,4088,1695
