YEAR,SERIALNO,PUMA,ADJHSG,ADJINC,CONP,ELEP,FS,GASP,MHP,MRGI,MRGP,MRGT,MRGX,RNTP,SMP,VACS,VALP,YBL,FES,FINCP,GRNTP,GRPIP,HHL,HHT,HINCP,LNGI,MV,OCPIP,SMOCP,TAXP,WORKSTAT,?
2013,1042,812,1000000,1007549,NULL,200,1,2,NULL,1,500,1,1,NULL,NULL,NULL,109000,10,3,41900,NULL,NULL,5,1,41900,1,4,23,792,25,7,?
2013,5650,812,1000000,1007549,NULL,140,2,2,NULL,NULL,NULL,NULL,NULL,300,NULL,NULL,NULL,8,8,39500,440,13,1,3,39500,1,3,NULL,NULL,NULL,15,?
2013,7001,812,1000000,1007549,NULL,80,2,2,NULL,NULL,NULL,NULL,NULL,650,NULL,NULL,NULL,5,7,27600,730,32,2,3,27600,1,4,NULL,NULL,NULL,13,?
2013,12275,812,1000000,1007549,NULL,120,2,2,NULL,NULL,NULL,NULL,NULL,1000,NULL,NULL,NULL,2,NULL,NULL,1123,101,1,6,10000,1,4,NULL,NULL,NULL,NULL,?
2013,13663,812,1000000,1007549,NULL,100,2,2,NULL,NULL,NULL,NULL,NULL,800,NULL,NULL,NULL,2,NULL,NULL,908,25,1,4,44240,1,3,NULL,NULL,NULL,NULL,?
2013,13910,812,1000000,1007549,NULL,80,2,2,NULL,1,1400,1,1,NULL,NULL,NULL,210000,15,NULL,NULL,NULL,NULL,1,7,104930,1,2,17,1501,24,NULL,?
2013,22150,812,1000000,1007549,NULL,60,2,80,NULL,1,1400,1,1,NULL,NULL,NULL,250000,6,1,70000,NULL,NULL,1,1,70000,1,1,26,1543,29,1,?
2013,22208,812,1000000,1007549,NULL,120,2,50,NULL,1,1200,1,1,NULL,350,NULL,150000,11,1,94000,NULL,NULL,2,1,94000,1,4,23,1820,31,1,?
2013,22483,812,1000000,1007549,NULL,50,2,50,NULL,1,1000,1,1,NULL,NULL,NULL,450000,1,1,185000,NULL,NULL,1,1,185000,1,3,7,1120,37,1,?
2013,28296,812,1000000,1007549,NULL,60,2,2,NULL,2,840,2,1,NULL,200,NULL,375000,1,NULL,NULL,NULL,NULL,1,6,105000,1,5,16,1379,27,NULL,?
2013,37190,812,1000000,1007549,230,60,2,2,NULL,2,1500,1,1,NULL,380,NULL,310000,11,1,145100,NULL,NULL,1,1,145100,1,4,19,2294,32,1,?
2013,39052,812,1000000,1007549,NULL,50,2,4,NULL,NULL,NULL,NULL,NULL,1500,NULL,NULL,NULL,13,NULL,NULL,1571,20,2,4,93000,1,2,NULL,NULL,NULL,NULL,?
2013,40139,812,1000000,1007549,NULL,260,2,2,NULL,1,720,2,1,NULL,NULL,NULL,137000,4,1,89000,NULL,NULL,1,1,89000,1,3,15,1110,24,1,?
2013,41062,812,1000000,1007549,NULL,80,1,20,NULL,NULL,NULL,NULL,NULL,1200,NULL,NULL,NULL,8,2,910,1300,101,1,1,910,1,2,NULL,NULL,NULL,3,?
2013,41129,812,1000000,1007549,NULL,150,2,240,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,300000,1,2,126000,NULL,NULL,1,1,126000,1,5,6,582,32,3,?
2013,41607,812,1000000,1007549,NULL,120,2,2,NULL,2,2000,1,1,NULL,NULL,NULL,330000,1,1,150000,NULL,NULL,1,1,150000,1,3,18,2192,42,1,?
2013,44435,812,1000000,1007549,NULL,20,2,1,NULL,NULL,NULL,NULL,NULL,250,NULL,NULL,NULL,3,NULL,NULL,270,32,1,4,10200,1,3,NULL,NULL,NULL,NULL,?
2013,48219,812,1000000,1007549,NULL,60,2,3,NULL,NULL,NULL,NULL,NULL,1000,NULL,NULL,NULL,7,NULL,NULL,1063,49,1,6,26000,1,3,NULL,NULL,NULL,NULL,?
2013,48876,812,1000000,1007549,NULL,140,2,2,NULL,1,1100,1,1,NULL,NULL,NULL,140000,7,1,114000,NULL,NULL,1,1,114000,1,5,13,1245,6,1,?
2013,50367,812,1000000,1007549,NULL,350,1,2,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,26000,8,4,100900,NULL,NULL,4,1,100900,1,4,5,405,14,9,?
2013,50426,812,1000000,1007549,NULL,150,2,2,NULL,1,1300,1,1,NULL,NULL,NULL,180000,9,1,83000,NULL,NULL,3,1,83000,2,3,21,1455,50,1,?
2013,54052,812,1000000,1007549,NULL,180,2,2,NULL,1,1800,1,1,NULL,NULL,NULL,300000,10,5,141000,NULL,NULL,1,2,141000,1,4,17,2013,32,10,?
2013,54586,812,1000000,1007549,NULL,2,1,3,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,50000,13,NULL,NULL,NULL,NULL,1,4,1500,1,3,11,14,1,NULL,?
2013,61800,812,1000000,1007549,NULL,250,2,2,NULL,1,1300,1,1,NULL,NULL,NULL,190000,7,1,110000,NULL,NULL,1,1,110000,1,3,17,1561,24,1,?
2013,63016,812,1000000,1007549,NULL,1,2,1,NULL,NULL,NULL,NULL,NULL,780,NULL,NULL,NULL,3,NULL,NULL,780,100,1,6,9400,1,4,NULL,NULL,NULL,NULL,?
2013,63242,812,1000000,1007549,NULL,280,2,2,NULL,1,1200,1,1,NULL,NULL,NULL,275000,1,NULL,NULL,NULL,NULL,1,6,66200,1,2,27,1496,18,NULL,?
2013,66552,812,1000000,1007549,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,?
2013,67735,812,1000000,1007549,NULL,100,2,3,NULL,NULL,NULL,NULL,NULL,850,NULL,NULL,NULL,9,NULL,NULL,950,19,1,6,60000,1,1,NULL,NULL,NULL,NULL,?
2013,69001,812,1000000,1007549,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,570,NULL,1,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,?
2013,70063,812,1000000,1007549,NULL,100,2,50,NULL,1,2300,1,1,NULL,NULL,NULL,425000,1,1,160000,NULL,NULL,1,1,160000,1,2,19,2467,30,1,?
2013,70831,812,1000000,1007549,NULL,210,2,210,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,500000,1,3,90800,NULL,NULL,1,1,90800,1,7,15,1105,37,7,?
2013,71007,812,1000000,1007549,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,?
